2020-10-20 22:31:37.992 None     INFO WORKFLOW------------ -------------------- BEGIN: Create Process Instance
2020-10-20 22:31:37.992 None     INFO WORKFLOW------------ --------------------  Begin transaction
2020-10-20 22:31:37.992 None     INFO WORKFLOW------------ --------------------  Get Process Definition
2020-10-20 22:31:38.153 None     INFO WORKFLOW------------ --------------------  Create Process: 751
2020-10-20 22:31:38.153 None     INFO WORKFLOW------------ --------------------  Set case scope checkPoint
2020-10-20 22:31:38.451 None     INFO WORKFLOW------------ --------------------  BEGIN: Executing task id=8 Name=Beteg berkezse DisplayName=Beteg beérkezése on EventTypeOnEnter
2020-10-20 22:31:38.502 None     INFO RULES--------------- --------------------   START EXECUTING RULE True, ID 1000
2020-10-20 22:31:38.512 None     INFO RULES--------------- --------------------   END EXECUTING RULE True, ID 1000
2020-10-20 22:31:38.517 None     INFO WORKFLOW------------ --------------------   Executing transition id=4 Name=Element_1 DisplayName=
2020-10-20 22:31:38.532 None     INFO WORKFLOW------------ --------------------   BEGIN: Executing task id=8 Name=Beteg berkezse DisplayName=Beteg beérkezése on EventTypeOnExit
2020-10-20 22:31:38.534 None     INFO WORKFLOW------------ --------------------   END
2020-10-20 22:31:38.748 None     INFO WORKFLOW------------ --------------------  END
2020-10-20 22:31:38.748 None     INFO WORKFLOW------------ --------------------  Commit data
