#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-11 23:23:23.212 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7f4e7fbf-01a1-442b-99f5-0a934f904eb2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.212 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7f4e7fbf-01a1-442b-99f5-0a934f904eb2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.212 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b9ba6977-df7e-4ed6-8cbd-a21a69678e0c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.212 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b9ba6977-df7e-4ed6-8cbd-a21a69678e0c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.597 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4ab1538c-ad8f-4773-a12c-85f52a7aecb3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.597 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4ab1538c-ad8f-4773-a12c-85f52a7aecb3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.597 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:688ba209-4ed7-48bf-9b59-c2cd25323457, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.597 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3605e89b-c4d6-4385-b621-a301bfd6b7f2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.597 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:688ba209-4ed7-48bf-9b59-c2cd25323457, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.597 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3605e89b-c4d6-4385-b621-a301bfd6b7f2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.613 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:858e8ede-cc3e-43a6-a92c-d490da2c66e8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.613 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:858e8ede-cc3e-43a6-a92c-d490da2c66e8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.760 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:01d68543-4b38-4bc7-99aa-4c4dd4005758, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.760 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:01d68543-4b38-4bc7-99aa-4c4dd4005758, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.813 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:09335947-4bc6-45fc-8fa2-a1ad2a8673c1, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.813 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:09335947-4bc6-45fc-8fa2-a1ad2a8673c1, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.813 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:790db4e9-d7c8-447c-b2a4-be320014f9fc, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.829 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:790db4e9-d7c8-447c-b2a4-be320014f9fc, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:23.829 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f33f2a5e-f842-4a06-aed6-445b02c787e3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
